date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
NA,NA,NA,NA,NA,NA,NA
2005241,1177.4629037,1167.4254283,98.8976062,5531,1378,621
2005257,937.4578241,926.4802947,84.0483752,5531,1100,460
2005273,733.5540367,713.2064079,75.2410138,5531,807,236
2005289,653.685879,647.0459614,72.9196976,5531,829,223
2005305,384.4608318,392.6357692,59.3064416,5531,615,171
2005321,148,156.8345814,32.4720716,5531,281,74
2005337,121,129.2317186,30.5372332,5531,246,48
2005353,100,107.170314,27.1449468,5531,215,45
2006001,206.4094974,220.1816476,49.9433789,5531,413,80
2006017,176.4969167,187.963838,42.7624908,5531,355,79
2006033,170.508164,183.0288032,42.4696239,5531,347,74
2006049,186.5136659,199.8968343,45.4815695,5531,390,95
